City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lalmohan,74,BD,2020-01-28 23:18:02,56,22.34,90.74,71.31,3.09
1,Pochutla,20,MX,2020-01-28 23:18:03,74,15.74,-96.47,78.8,11.39
2,Mataura,96,NZ,2020-01-28 23:18:03,89,-46.19,168.86,55.0,11.99
3,Thompson,90,CA,2020-01-28 23:15:49,85,55.74,-97.86,10.4,5.82
4,Severo-Kuril'sk,100,RU,2020-01-28 23:18:03,85,50.68,156.12,25.9,3.33
5,Bintulu,75,MY,2020-01-28 23:18:03,79,3.17,113.03,86.0,9.17
6,Rikitea,100,PF,2020-01-28 23:18:03,78,-23.12,-134.97,79.79,6.22
7,Tuktoyaktuk,90,CA,2020-01-28 23:18:03,68,69.45,-133.04,-16.6,6.93
8,Hilo,20,US,2020-01-28 23:18:03,57,19.73,-155.09,78.8,5.82
9,Port Alfred,60,ZA,2020-01-28 23:18:03,83,-33.59,26.89,68.0,4.0
10,Storforshei,100,NO,2020-01-28 23:18:04,82,66.4,14.52,19.99,6.33
11,Mount Gambier,0,AU,2020-01-28 23:18:04,17,-37.83,140.77,89.6,9.17
12,Atuona,32,PF,2020-01-28 23:15:06,79,-9.8,-139.03,80.91,13.62
13,Talara,0,PE,2020-01-28 23:18:04,87,-4.58,-81.27,74.3,9.8
14,Tasiilaq,100,GL,2020-01-28 23:18:04,86,65.61,-37.64,30.2,31.09
15,Kharakvasla,5,IN,2020-01-28 23:18:04,82,18.43,73.77,62.85,3.06
16,Ulaangom,71,MN,2020-01-28 23:18:04,97,49.98,92.07,-5.98,4.52
17,Baruun-Urt,90,MN,2020-01-28 23:18:04,88,46.68,113.28,2.77,1.88
18,Avarua,84,CK,2020-01-28 23:18:04,88,-21.21,-159.78,78.8,9.17
19,Bluff,100,NZ,2020-01-28 23:16:23,89,-46.6,168.33,55.0,11.99
20,Ushuaia,75,AR,2020-01-28 23:16:24,81,-54.8,-68.3,42.8,28.86
21,Inirida,0,CO,2020-01-28 23:18:05,72,3.87,-67.92,78.03,1.77
22,Busselton,32,AU,2020-01-28 23:18:05,29,-33.65,115.33,82.99,7.54
23,Katsuura,20,JP,2020-01-28 23:18:05,63,35.13,140.3,64.4,13.87
24,Kaitangata,100,NZ,2020-01-28 23:09:54,73,-46.28,169.85,61.0,21.0
25,Lorengau,76,PG,2020-01-28 23:10:31,79,-2.02,147.27,84.0,14.38
26,Puerto Carreno,6,CO,2020-01-28 23:18:05,62,6.19,-67.49,86.0,5.82
27,Castro,33,BR,2020-01-28 23:08:11,99,-24.79,-50.01,63.79,5.88
28,Skjervoy,96,NO,2020-01-28 23:18:05,75,70.03,20.97,17.47,28.16
29,Olafsvik,0,IS,2020-01-28 23:07:43,76,64.89,-23.71,30.63,14.2
30,Nantucket,90,US,2020-01-28 23:16:23,51,41.28,-70.1,37.4,13.87
31,Hachinohe,90,JP,2020-01-28 23:18:06,93,40.5,141.5,46.99,18.34
32,Luderitz,0,NA,2020-01-28 23:18:06,78,-26.65,15.16,65.01,27.81
